Report,Timeframe,Period,Type,Geography,Current Year Week Ending,ASP Current Year,Total Bulk and Bags,4046,4225,4770,TotalBagged,Sml Bagged,Lrg Bagged,X-Lrg Bagged,Unknown Bag Size
Category,Weekly,32,Conventional,5 Boroughs/New York City,2025/08/10,1.067932165,756648.6601,244602.8243,211808.7717,2287.287324,297949.7767,269317.6606,0,16627.3836,12004.73253
Category,Weekly,31,Conventional,5 Boroughs/New York City,2025/08/03,1.133547448,789373.165,221253.7765,292976.6207,4267.845132,270874.9226,248932.1735,0,9359.724063,12583.0251
Category,Weekly,30,Conventional,5 Boroughs/New York City,2025/07/27,1.152618493,649631.4006,199969.722,158491.5948,2006.873389,289163.2103,265106.3188,0,11407.81489,12649.07663
Category,Weekly,29,Conventional,5 Boroughs/New York City,2025/07/20,1.068495563,805373.7028,280378.3867,226702.5782,1761.578733,296531.1591,266360.5075,1633.8,14763.95143,13772.90017
Category,Weekly,28,Conventional,5 Boroughs/New York City,2025/07/13,1.198828998,806313.3971,218810.0856,269939.8357,3837.947957,313725.5278,286736.8581,4372.2,7209.803701,15406.666
Category,Weekly,27,Conventional,5 Boroughs/New York City,2025/07/06,1.255570091,685738.858,194585.6005,177718.8255,2298.45425,311135.9777,285611.5356,5926.2,4444.382439,15153.85971
Category,Weekly,26,Conventional,5 Boroughs/New York City,2025/06/29,1.252935688,704618.4281,190909.3722,213907.3893,2733.426027,297068.2406,280062.7245,0,2595.472925,14410.04322
Category,Weekly,25,Conventional,5 Boroughs/New York City,2025/06/22,1.284018544,690265.3125,210033.0071,176073.7478,2001.385148,302157.1724,283912.2125,0,3201.621413,15043.33846
Category,Weekly,24,Conventional,5 Boroughs/New York City,2025/06/15,1.136178322,902533.7226,326842.8861,199741.6752,2067.684851,373881.4764,355519.0856,0,1860.46875,16501.92199
Category,Weekly,23,Conventional,5 Boroughs/New York City,2025/06/08,1.263095149,802724.1694,316630.6255,148226.4346,2539.187821,335327.9214,317650.7239,70.35716972,589.05,17017.79032
Category,Weekly,22,Conventional,5 Boroughs/New York City,2025/06/01,1.192097087,814045.564,290741.4299,136691.1011,2711.018242,383902.0148,358763.7595,7585.2,0,17553.05531
Category,Weekly,21,Conventional,5 Boroughs/New York City,2025/05/25,1.13358225,928219.8095,318406.662,194501.4135,1339.608283,413972.1257,380243.9358,14641.2,0,19086.98997
Category,Weekly,20,Conventional,5 Boroughs/New York City,2025/05/18,1.26083332,864318.1689,316816.854,181059.1341,2309.980857,364132.1999,334106.9463,7485.975,0,22539.27862
Category,Weekly,19,Conventional,5 Boroughs/New York City,2025/05/11,1.127797324,1068770.168,403857.4711,266185.5396,1788.729243,396938.4285,361337.1701,11824.3125,0,23776.94587
Category,Weekly,18,Conventional,5 Boroughs/New York City,2025/05/04,1.285976377,908127.6221,329853.8155,160398.0513,2646.563781,415229.1915,377556.9241,13218.975,0,24453.29242
Category,Weekly,17,Conventional,5 Boroughs/New York City,2025/04/27,1.405831591,731543.4896,222988.9597,122270.757,1819.459098,384464.3138,359290.1797,5606.2125,0,19567.92157
Category,Weekly,16,Conventional,5 Boroughs/New York City,2025/04/20,1.319732891,809111.1389,282096.9902,157683.0763,2329.612796,367001.4596,343158.8016,0,0,23842.65798
Category,Weekly,15,Conventional,5 Boroughs/New York City,2025/04/13,1.394735763,769830.7768,241598.4699,128195.7874,2019.133038,398017.3864,367406.0028,6865.620739,0,23745.76283
Category,Weekly,14,Conventional,5 Boroughs/New York City,2025/04/06,1.221422975,950543.091,355422.4252,238892.9724,1446.487948,354781.2055,330970.8838,2836.075151,0,20974.24652
Category,Weekly,13,Conventional,5 Boroughs/New York City,2025/03/30,1.409230001,706883.0845,221284.2731,115019.7852,1687.902342,368891.1239,343922.55,6084.978568,0,18883.59533
Category,Weekly,12,Conventional,5 Boroughs/New York City,2025/03/23,1.372537441,826370.0547,298525.5015,163962.3183,2873.818616,361008.4162,340804.7394,0,0,20203.67681
Category,Weekly,11,Conventional,5 Boroughs/New York City,2025/03/16,1.432921563,735401.0678,223612.4353,138236.0315,1799.558516,371753.0425,350691.3765,3401.2125,0,17660.45345
Category,Weekly,10,Conventional,5 Boroughs/New York City,2025/03/09,1.358218863,873458.4221,327118.264,208995.5113,3249.021272,334095.6255,318547.1888,44.1,0,15504.33675
Category,Weekly,9,Conventional,5 Boroughs/New York City,2025/03/02,1.443581296,688620.4456,223195.8352,158800.9025,1870.410385,304753.2976,285263.9295,0,0,19489.36811
Category,Weekly,8,Conventional,5 Boroughs/New York City,2025/02/23,1.411633041,704608.7058,235134.381,161791.165,1743.514345,305939.6454,287704.4673,0,0,18235.17809
Category,Weekly,7,Conventional,5 Boroughs/New York City,2025/02/16,1.187687888,963896.0653,361006.022,305476.2135,2200.462298,295213.3674,276452.9893,94.75127202,0,18665.62685
Category,Weekly,6,Conventional,5 Boroughs/New York City,2025/02/09,1.336382644,993369.1991,365659.8972,296905.9379,2423.122292,328380.2418,307071.4737,0,0,21308.76808
Category,Weekly,5,Conventional,5 Boroughs/New York City,2025/02/02,1.282998168,850418.9313,292219.7264,268275.1464,1135.456251,288788.6023,267817.0124,138.4481301,0,20833.14178
Category,Weekly,4,Conventional,5 Boroughs/New York City,2025/01/26,1.463073526,637547.6644,172405.5826,163679.7509,1040.738889,300421.592,283902.9156,283.9951186,0,16234.68121
Category,Weekly,3,Conventional,5 Boroughs/New York City,2025/01/19,1.165340981,985751.5766,345507.8501,344429.7187,1267.969067,294546.0387,276154.5583,686.912376,7.140324859,17697.42764
Category,Weekly,2,Conventional,5 Boroughs/New York City,2025/01/12,1.406873946,651022.9193,195242.208,186798.6425,1045.621436,267936.4474,248271.1082,314.768783,14.31024604,19336.26011
Category,Weekly,1,Conventional,5 Boroughs/New York City,2025/01/05,1.209422183,767060.9696,249008.9475,262508.2837,1143.975263,254399.7632,234670.8963,413.6569849,3.560510011,19311.64941
Category,Weekly,52,Conventional,Albany,2025/12/28,0.821843429,140644.3642,46264.39044,64463.25928,65.59176297,29851.12268,22233.71197,6618.842664,267.9000882,730.6679578
Category,Weekly,51,Conventional,Albany,2025/12/21,0.851556708,152771.0473,48955.31438,71168.13418,124.09167,32523.50704,26682.72261,5005.68391,189.9263423,645.1741731
Category,Weekly,50,Conventional,Albany,2025/12/14,0.869427663,150256.0701,58755.06053,54639.22411,193.719858,36668.06563,28518.25926,7251.860867,169.0531543,728.8923429
Category,Weekly,49,Conventional,Albany,2025/12/07,0.913292651,161363.6166,64545.71794,59348.48218,100.8850805,37368.53135,29048.9726,7115.383841,190.1696837,1014.005224
Category,Weekly,48,Conventional,Albany,2025/11/30,0.971979832,114026.9895,39494.18772,42602.59364,33.29622571,31896.91186,24078.23803,6779.575631,322.5680198,716.5301799
Category,Weekly,47,Conventional,Albany,2025/11/23,0.901565367,147698.1836,51537.72557,61302.64946,72.63643786,34785.17215,27005.24941,6436.356264,317.1090087,1026.45747
Category,Weekly,46,Conventional,Albany,2025/11/16,0.949956624,143403.7009,54833.91348,50298.28686,82.71902334,38188.78157,33059.7114,4014.295442,270.9691968,843.805531
Category,Weekly,45,Conventional,Albany,2025/11/09,0.907907155,158493.57,56532.63053,63690.46251,47.39675743,38223.08021,31482.85292,5298.069852,572.0741545,870.083289
Category,Weekly,44,Conventional,Albany,2025/11/02,0.922855969,147532.4729,50586.20472,58919.61525,45.30503086,37981.3479,29116.16401,6480.681629,1504.740356,879.7619007
Category,Weekly,43,Conventional,Albany,2025/10/26,0.922906306,150057.8528,46280.57371,64090.31772,55.30368751,39631.65764,34394.26541,2072.56875,2181.227851,983.595623
Category,Weekly,42,Conventional,Albany,2025/10/19,0.893702479,163982.9741,56538.96353,66703.06743,62.66784734,40678.27525,37599.76247,764.26875,1387.575,926.6690277
Category,Weekly,41,Conventional,Albany,2025/10/12,0.89647387,157174.2697,46151.76976,61186.84592,68.44679316,49767.20726,47253.3794,303.1875,1453.454471,757.18589
Category,Weekly,40,Conventional,Albany,2025/10/05,0.913288624,144759.6436,42404.17838,55829.1162,92.39403832,46433.95499,43618.16477,91.35,1968.646739,755.7934774
Category,Weekly,39,Conventional,Albany,2025/09/28,0.948891811,160706.9082,48906.08131,67885.45901,75.39478745,43839.97312,41407.02723,372.09375,1551.864102,508.9880327
Category,Weekly,38,Conventional,Albany,2025/09/21,0.993810705,140706.5137,43791.97631,56031.33097,85.52290904,40797.68355,38776.07903,232.44375,1188.678494,600.4822755
Category,Weekly,37,Conventional,Albany,2025/09/14,1.005681657,158147.7769,53963.59317,62217.61043,95.56881178,41871.00453,38605.81615,157.7388755,2261.414213,846.0352933
Category,Weekly,36,Conventional,Albany,2025/09/07,1.014568948,144711.742,42279.77997,59676.98686,90.56370576,42664.41143,39497.92178,593.9814447,1560.295533,1012.212676
Category,Weekly,35,Conventional,Albany,2025/08/31,1.032812407,143841.5012,42516.61063,62022.05037,78.49657695,39224.34361,35077.82142,0.938734654,1792.740866,2352.842586
Category,Weekly,34,Conventional,Albany,2025/08/24,1.036293093,153908.5103,57073.89111,61044.40309,112.7079631,35677.50814,29520.03111,128.2994583,2010.943331,4018.234247
Category,Weekly,33,Conventional,Albany,2025/08/17,1.055491834,148834.4901,42764.08908,64018.66888,118.7155273,41933.01666,35289.15334,418.95,1529.833129,4695.08019
Category,Weekly,32,Conventional,Albany,2025/08/10,1.081533551,148026.3764,42954.48538,65630.55013,232.5797971,39208.76109,33047.62131,56.4375,1872.322589,4232.379686
Category,Weekly,31,Conventional,Albany,2025/08/03,1.075995044,154533.0238,49424.71737,67565.743,52.36928557,37490.19416,31408.2836,486.28125,1148.252039,4447.377273
Category,Weekly,30,Conventional,Albany,2025/07/27,0.994962123,157181.6214,43060.06952,74377.31626,116.9256985,39627.30991,33054.17141,307.125,1896.081864,4369.931641
Category,Weekly,29,Conventional,Albany,2025/07/20,1.071772419,158092.0676,50489.54305,70138.98599,101.7666121,37361.77193,30225.55421,322.875,2082.35749,4730.98523
Category,Weekly,28,Conventional,Albany,2025/07/13,1.062135553,168109.3914,59517.22915,70897.0422,181.3672535,37513.75277,29949.19791,209.86875,2395.748449,4958.937655
Category,Weekly,27,Conventional,Albany,2025/07/06,1.095268302,162187.971,49318.71192,73089.62338,206.187078,39573.4486,29245.53128,2584.8375,2664.86547,5078.214347
Category,Weekly,26,Conventional,Albany,2025/06/29,1.048012645,159728.8077,45193.46074,75011.63192,136.0509735,39387.66406,29261.06254,2909.68125,2042.681956,5174.238307
Category,Weekly,25,Conventional,Albany,2025/06/22,1.092283659,161686.4377,57559.17513,67889.09093,214.9751121,36023.19654,25018.34468,3637.2,1127.7,6239.951865
Category,Weekly,24,Conventional,Albany,2025/06/15,1.107463812,148169.3618,57116.19092,54111.62055,143.9265893,36797.62373,27597.04416,1944.99375,1547.4375,5708.148324
Category,Weekly,23,Conventional,Albany,2025/06/08,1.06777184,182625.1353,78513.47966,61688.14479,104.1996176,42319.31123,34934.45704,3471.69375,176.4,3736.760434
Category,Weekly,22,Conventional,Albany,2025/06/01,1.047810829,165839.4775,61590.80332,53412.57104,237.9996298,50598.10347,45857.97065,3740.8875,2.75625,996.4890607
Category,Weekly,21,Conventional,Albany,2025/05/25,1.06899092,171835.5006,67151.70266,55471.51211,294.5334626,48917.7524,42722.22426,5120.0625,0,1075.465638
Category,Weekly,20,Conventional,Albany,2025/05/18,1.028605597,175966.25,74466.48404,53862.89056,240.9911933,47395.88418,42835.81088,3444.2625,0,1115.8108
Category,Weekly,19,Conventional,Albany,2025/05/11,1.053543855,181711.9648,71955.22402,56515.91935,179.4129844,53061.40846,46683.83606,5077.40625,2.75625,1297.4099
Category,Weekly,18,Conventional,Albany,2025/05/04,1.053523107,195244.9479,89475.38291,57228.18862,240.636971,48300.73943,42013.99875,5052.73125,27.5625,1206.446935
Category,Weekly,17,Conventional,Albany,2025/04/27,1.062577529,158850.5947,67981.27111,45007.08248,166.0404697,45696.20065,40296.65988,4429.95,0,969.5907734
Category,Weekly,16,Conventional,Albany,2025/04/20,1.073880978,151480.9652,63361.22627,43041.91377,165.6977922,44912.12734,39910.29049,3690.88125,2.75625,1308.199351
Category,Weekly,15,Conventional,Albany,2025/04/13,1.039427966,153290.7346,57693.38878,45494.97023,180.4311678,49921.94443,44938.12793,3715.03125,2.75625,1266.029005
Category,Weekly,14,Conventional,Albany,2025/04/06,1.020801055,170213.3468,72040.126,50363.68839,161.868424,47647.66394,43102.5482,3415.65,0,1129.465747
Category,Weekly,13,Conventional,Albany,2025/03/30,1.080191533,163374.348,63564.20451,55465.02485,133.36887,44211.74979,38252.25248,4815.69375,5.5125,1138.291061
Category,Weekly,12,Conventional,Albany,2025/03/23,1.092302414,150494.3445,59861.68,48502.87984,203.1118007,41926.6729,37128.60595,3760.44375,0,1037.623204
Category,Weekly,11,Conventional,Albany,2025/03/16,1.081558382,159902.7553,63646.78286,49954.51337,196.704975,46104.75404,40938.96186,4106.2875,5.5125,1053.992176
Category,Weekly,10,Conventional,Albany,2025/03/09,1.044096978,168078.9949,63189.89674,52716.99145,185.3305721,51986.77616,46930.80103,3864.65625,0,1191.318884
Category,Weekly,9,Conventional,Albany,2025/03/02,1.098639164,156549.7428,60247.51695,53052.95433,144.3748324,43104.89667,37362.76721,4584.95625,2.75625,1154.416957
Category,Weekly,8,Conventional,Albany,2025/02/23,1.082209109,144669.8013,59180.24023,48025.74248,161.93249,37301.88608,31882.77256,4276.25625,2.75625,1140.101019
Category,Weekly,7,Conventional,Albany,2025/02/16,1.057254601,150819.3099,60648.93028,49658.05121,160.8863952,40351.44198,35735.53201,3642.31875,0,973.5912221
Category,Weekly,6,Conventional,Albany,2025/02/09,0.972944941,225561.7537,89898.56506,87721.61697,256.4733934,47685.09826,42821.60798,3507.7875,0,1355.702776
Category,Weekly,5,Conventional,Albany,2025/02/02,1.072884645,155378.455,55153.93618,55758.70816,247.5760853,44218.23457,38152.83563,5139.35625,2.75625,923.2864473
Category,Weekly,4,Conventional,Albany,2025/01/26,1.014022034,164881.6007,62604.89333,58720.25347,220.5407808,43335.91307,38126.34918,4190.8125,5.5125,1013.238887
Category,Weekly,3,Conventional,Albany,2025/01/19,0.971512857,171498.4778,59012.25661,67172.29999,193.784053,45120.13717,38775.87549,4978.8375,11.025,1354.399181
Category,Weekly,2,Conventional,Albany,2025/01/12,0.987622632,168473.2395,69914.71789,52836.12196,137.3132656,45585.08643,37766.41512,6513.15,2.75625,1302.765064
Category,Weekly,1,Conventional,Albany,2025/01/05,0.953077619,181104.095,71820.09154,74355.57866,173.1173677,34755.3074,28508.6404,4856.775,2.75625,1387.135754
Category,Weekly,52,Conventional,Atlanta,2025/12/28,0.95719635,952222.5846,439570.1379,127556.0083,63.22500136,385033.2135,309725.0817,71210.15735,261.84375,3836.130707
Category,Weekly,51,Conventional,Atlanta,2025/12/21,0.98625769,1018073.495,517281.7253,84572.16749,46.49266316,416173.1095,321739.1349,90115.38914,328.3875,3990.198043
Category,Weekly,50,Conventional,Atlanta,2025/12/14,0.987621064,1031804.596,535006.938,78385.32917,32.93958059,418379.3888,315017.8144,98950.17526,412.25625,3999.142891
Category,Weekly,49,Conventional,Atlanta,2025/12/07,0.87347088,1234815.24,544527.3412,94082.05234,64.61004287,596141.2362,381377.3086,210298.0655,278.775,4187.087118
Category,Weekly,48,Conventional,Atlanta,2025/11/30,0.939019263,952147.5404,483694.7803,76335.71654,42.79285722,392074.2508,311743.1528,76749.225,281.53125,3300.341723
Category,Weekly,47,Conventional,Atlanta,2025/11/23,0.969572317,1012045.843,505337.2016,69488.69797,73.81701211,437146.1268,336195.7754,95810.4,309.7853336,4830.166024
Category,Weekly,46,Conventional,Atlanta,2025/11/16,0.99145468,1055651.523,513722.6856,103663.2034,79.32705918,438186.3073,330891.6971,102181.4714,306.3375,4806.801286
Category,Weekly,45,Conventional,Atlanta,2025/11/09,1.026214295,1049626.073,504716.9393,107040.7289,43.24290759,437825.1614,328135.1454,105545.3007,320.11875,3824.596571
Category,Weekly,44,Conventional,Atlanta,2025/11/02,1.041638616,1031548.701,486989.2667,106498.4088,100.2449414,437960.7807,331171.1033,101593.3737,637.875,4558.428646
Category,Weekly,43,Conventional,Atlanta,2025/10/26,1.060698576,1051719.319,421378.44,185831.4228,161.3892251,444348.0666,372101.2051,65110.5,2919.65625,4216.705261
Category,Weekly,42,Conventional,Atlanta,2025/10/19,1.084576069,1063795.382,423767.7988,180721.1759,47.49010407,459258.917,360109.7105,90566.7,4236.75,4345.756463
Category,Weekly,41,Conventional,Atlanta,2025/10/12,1.106887384,1019376.466,418836.8887,167859.2293,27.40680893,432652.9413,349039.644,76083.13125,2986.59375,4543.572293
Category,Weekly,40,Conventional,Atlanta,2025/10/05,1.122690924,1023061.203,471036.6061,104796.2909,65.92242254,447162.3832,337923.7325,94380.825,10784.8125,4073.01315
Category,Weekly,39,Conventional,Atlanta,2025/09/28,1.155682849,1021566.399,475312.3489,110823.9053,58.7469473,435371.3977,367756.5855,62000.26875,2010.88125,3603.662224
Category,Weekly,38,Conventional,Atlanta,2025/09/21,1.158649856,989166.8048,498429.7853,79331.4355,21.53042664,411384.0536,311868.774,92245.51875,3025.575,4244.185818
Category,Weekly,37,Conventional,Atlanta,2025/09/14,1.161182756,1021176.826,493060.913,110534.2984,22.76338411,417558.8515,327099.7524,82667.72431,3499.25625,4292.118596
Category,Weekly,36,Conventional,Atlanta,2025/09/07,1.178491684,1000159.296,469563.7065,103526.1432,39.67939496,427029.7669,344040.6896,69987.59042,8664.46875,4337.018163
Category,Weekly,35,Conventional,Atlanta,2025/08/31,1.182046819,974420.0789,479232.3459,89550.05616,26.12545482,405611.5514,315204.0958,83179.90381,3240.95625,3986.595538
Category,Weekly,34,Conventional,Atlanta,2025/08/24,1.184459124,1017680.572,495567.9862,99902.56163,35.01210715,422175.0121,290527.7313,122480.0619,5051.41875,4115.800165
Category,Weekly,33,Conventional,Atlanta,2025/08/17,1.192651843,1031995.273,473672.5908,129429.5141,28.510571,428864.6578,333420.6923,80336.55,10490.2875,4617.128009
Category,Weekly,32,Conventional,Atlanta,2025/08/10,1.192268493,1028926.105,428375.4155,145742.471,64.42158982,454743.797,358627.034,88447.275,3327.1875,4342.300529
Category,Weekly,31,Conventional,Atlanta,2025/08/03,1.187030186,1035831.58,492306.6775,79150.73339,66.91881926,464307.25,364931.5291,90703.85625,3794.175,4877.689621
Category,Weekly,30,Conventional,Atlanta,2025/07/27,1.207315346,1031595.248,467502.8721,101389.4867,44.49233591,462658.397,396210.9949,58753.275,3170.475,4523.652094
Category,Weekly,29,Conventional,Atlanta,2025/07/20,1.240046935,1027992.204,478838.0863,98468.60358,47.57287033,450637.9416,367894.2262,74459.9625,4146.87692,4136.875965
Category,Weekly,28,Conventional,Atlanta,2025/07/13,1.265693193,996205.307,496960.4275,74870.31836,65.14753838,424309.4137,363824.7644,50936.025,5010.46875,4538.155538
Category,Weekly,27,Conventional,Atlanta,2025/07/06,1.313182779,985470.0088,478271.8395,95557.89493,44.47993808,411595.7944,329512.1269,73892.175,2849.175,5342.317467
Category,Weekly,26,Conventional,Atlanta,2025/06/29,1.298856552,992595.3072,463195.5074,98186.21933,53.45707426,431160.1235,353793.5591,68801.38125,3827.538242,4737.644867
Category,Weekly,25,Conventional,Atlanta,2025/06/22,1.299845977,965611.734,475645.0025,78247.96657,89.73807233,411629.0269,336580.5577,66193.575,4100.11875,4754.775464
Category,Weekly,24,Conventional,Atlanta,2025/06/15,1.326785349,981701.509,477574.7,103874.1927,130.0834881,400122.5329,341845.028,51101.4,2720.706312,4455.398557
Category,Weekly,23,Conventional,Atlanta,2025/06/08,1.337827356,1002483.948,458598.6368,140716.904,58.20224967,403110.2052,318337.7934,78247.8375,938.30625,5586.267983
Category,Weekly,22,Conventional,Atlanta,2025/06/01,1.30068233,1034287.128,504364.2777,132885.5907,140.1351108,396897.1246,317971.4172,73794.65625,146.86875,4984.182398
Category,Weekly,21,Conventional,Atlanta,2025/05/25,1.24839891,1112985.807,628318.8563,63485.26404,66.02231479,421115.6639,341235.6938,74372.55,225.61875,5281.801421
Category,Weekly,20,Conventional,Atlanta,2025/05/18,1.258559889,1115687.031,613704.7406,82743.85683,74.20829233,419164.2251,356244.7161,57304.93125,171.28125,5443.296436
Category,Weekly,19,Conventional,Atlanta,2025/05/11,1.35911818,1103047.065,572278.4105,132036.9715,58.22751863,398673.4558,311641.6289,81122.34375,137.8125,5771.670655
Category,Weekly,18,Conventional,Atlanta,2025/05/04,1.312517552,1293810.008,703774.5172,148194.8216,53.53665424,441787.1323,359899.0907,76563.375,152.38125,5172.285372
Category,Weekly,17,Conventional,Atlanta,2025/04/27,1.38889221,1102829.89,598393.4752,89555.97297,41.35436612,414839.0872,337694.8537,71895.6,99.225,5149.408513
Category,Weekly,16,Conventional,Atlanta,2025/04/20,1.366063779,1001870.71,558406.8492,61478.9427,22.38055185,381962.5379,320202.3073,55447.35,212.625,6100.255617
Category,Weekly,15,Conventional,Atlanta,2025/04/13,1.311696661,1049832.514,585687.4161,53597.3104,45.90416048,410501.8837,332420.9491,72172.14375,424.85625,5483.934602
Category,Weekly,14,Conventional,Atlanta,2025/04/06,1.318416422,1011018.007,594776.9944,52824.87554,65.95456233,363350.1825,292163.9888,66027.54375,165.76875,4992.881116
Category,Weekly,13,Conventional,Atlanta,2025/03/30,1.275101282,1075923.046,608777.1147,46201.80393,76.39755912,420867.73,359308.0329,55900.425,386.26875,5273.003376
Category,Weekly,12,Conventional,Atlanta,2025/03/23,1.261437659,1112382.597,646329.1913,41897.01383,25.60210078,424130.7901,381196.9514,37925.34375,433.51875,4574.976257
Category,Weekly,11,Conventional,Atlanta,2025/03/16,1.338998975,1075249.05,536094.2014,101514.0947,73.72112683,437567.0331,388522.6438,43950.1125,356.7375,4737.539326
Category,Weekly,10,Conventional,Atlanta,2025/03/09,1.333605105,1102359.245,534996.7733,109344.9937,47.73673178,457969.7413,385018.2722,66927.65625,565.7858368,5458.027043
Category,Weekly,9,Conventional,Atlanta,2025/03/02,1.317636694,1019762.757,537375.5437,54649.84062,50.62835234,427686.7445,348867.7507,72683.625,608.5789224,5526.789854
Category,Weekly,8,Conventional,Atlanta,2025/02/23,1.352697861,987838.6047,526744.7903,49643.06617,81.36653182,411369.3817,325849.876,79533.5625,835.0623682,5150.880853
Category,Weekly,7,Conventional,Atlanta,2025/02/16,1.288585983,970494.5775,570098.7186,50773.61414,74.15174743,349548.093,256289.0609,85178.49375,3435.208901,4645.329425
Category,Weekly,6,Conventional,Atlanta,2025/02/09,1.244332189,1206547.571,768036.1576,55412.59358,34.36496402,383064.4553,242539.3992,123907.7438,10532.39053,6084.92182
Category,Weekly,5,Conventional,Atlanta,2025/02/02,1.294583804,1019055.82,592935.2721,45328.26519,23.95906355,380768.3239,245020.3919,111027.6563,11791.96126,12928.31441
Category,Weekly,4,Conventional,Atlanta,2025/01/26,1.236764737,1008873.571,569745.9514,49737.12709,30.8367211,389359.6557,232330.9885,112482.3,26072.5155,18473.85165
Category,Weekly,3,Conventional,Atlanta,2025/01/19,1.197407841,1039020.192,535497.9258,60005.6295,13.27303628,443503.3638,276795.9863,129717.2625,25131.28463,11858.83041
Category,Weekly,2,Conventional,Atlanta,2025/01/12,1.150244399,1092104.261,571631.7367,96871.23523,17.85559765,423583.4339,277382.5017,101154.2438,15993.74428,29052.94419
Category,Weekly,1,Conventional,Atlanta,2025/01/05,1.269865445,1032243.213,520032.8579,161638.7054,18.07362932,350553.5756,218535.0414,104993.175,11681.83551,15343.52372
Category,Weekly,52,Conventional,Baltimore/Washington,2025/12/28,0.923401116,1592036.807,634752.7835,135231.0655,1605.167013,820447.7907,598737.4914,185150.2873,7143.021399,29416.9906
Category,Weekly,51,Conventional,Baltimore/Washington,2025/12/21,0.919276188,1697137.21,627710.4869,131551.816,1882.8735,935992.0338,654784.7168,234933.0501,9347.76621,36926.50073
